																		T	Q number		Examiner			Year	Description	
			PA194	PA181	PA116	PA017	PA152	PA159	PA152	PV157	PA179	PV207	PV203	PV215	PV240	PV241	PV206		6S		Bartek			2016	2016	
					PA179	PA165	PA195	PA191		PV017			PV214	PV237	PV216	PV166	PV209		8S		Bartek			2016	1. otázka byla na aplikovanou kryptografii. Takže symetrická/asymetrická kryptografie, digitální podpis, hash, certifikační autorita, biometrické systémy.	The first question was about applied cryptography. So symmetric/asymmetric cryptography, digital signature, hash, certification authority, biometric systems.
Examiner			1S	2S	3S	4S	5S	6S	7S	8S	1M	2Ms	3M	4M	5M	6M	7M		1M		Bühnová			2016	Teamwork, optimalni mnozsti clenu v tymu, k cemu slouzi Quality Assurance, homogenost vs diverzita clenu v tymu	Teamwork, optimal number of team members, what is the purpose of Quality Assurance, homogeneity vs diversity of team members
Walletzký			24	8	0	0	0	0	0	3	0	0	0	15	3	2	0		1M		Bühnová			2016	TOC, CC, Gant...	TOC, CC, Gantt...
Ráček			1	0	4	0	0	0	0	0	3	0	1	0	1	0	0		1S		Bühnová			2016	Vcelku vpoho ptala se na ekonomicke paradigmata (orientace na produkty/sluzby)... Rozebirali jsme nejake veci z praxe. Spise takova diskuse/polemika nad vecmi nez zkouseni z temat otazky - je hodna.	She asked quite nicely about economic paradigms (product/service orientation)... We discussed some practical things. It's more like a discussion/polemic about things than an examination of the topic of the question - it's good.
Dohnal			0	1	0	3	3	6	0	4	0	0	0	0	0	0	1		4S		Bühnová			2016	Bühnová mi povedala nech jej poviem niečo o SOA tak som povedal čo to je, aké to má výhody, prístupy k budovaniu SOA architektúry (top-down, bottom-up). Potom mala nejaké jednoduché otázky k tomu a spýtala sa ma ešte na ITIL, kde som dal definíciu, povedal z akých 5 oblastí sa to skladá a 1 príklad toho čo sa rieši v každej knihe.	Bühnová told me to tell him something about SOA, so I said what it is, what advantages it has, approaches to building SOA architecture (top-down, bottom-up). Then she had some simple questions about it and asked me about ITIL, where I gave a definition, said what 5 areas it consists of and 1 example of what is dealt with in each book.
Zlatuška			0	0	0	0	0	1	1	3	0	0	0	0	0	0	0		5S		Bühnová			2016	Bühnová mi povedala nech jej poviem niečo o SOA tak som povedal čo to je, aké to má výhody, prístupy k budovaniu SOA architektúry (top-down, bottom-up). Potom mala nejaké jednoduché otázky k tomu a spýtala sa ma ešte na ITIL, kde som dal definíciu, povedal z akých 5 oblastí sa to skladá a 1 príklad toho čo sa rieši v každej knihe.	Bühnová told me to tell him something about SOA, so I said what it is, what advantages it has, approaches to building SOA architecture (top-down, bottom-up). Then she had some simple questions about it and asked me about ITIL, where I gave a definition, said what 5 areas it consists of and 1 example of what is dealt with in each book.
Pitner			0	0	0	1	0	0	1	2	0	0	1	0	0	0	1		4S		Dohnal			2016	SoA, zakladne pojmy/rysy, trochu soap vs rest, (wsdl spomenul), url/uri	SoA, basic concepts/features, a bit of soap vs rest, (wsdl mentioned), url/uri
Batko			0	0	2	4	2	2	5	1	2	0	1	0	0	0	0		4S		Dohnal			2016	SoA, zakladne pojmy/rysy, trochu soap vs rest, (wsdl spomenul), url/uri	SoA, basic concepts/features, a bit of soap vs rest, (wsdl mentioned), url/uri
Ošlejšek			0	0	8	1	0	3	1	4	0	0	5	0	0	0	0	0	5S		Dohnal			2016	Pan Dohnal mi dal distribuovane systemy vs centralizovane. Vydatne navadzal a dost specifikoval co vlastne pozaduje. Bohuzial som tuto temu jaksi "neovladal", takze som pri niektorych otazkach tapal (zjednodusene -> ako sa riesi rozdelenie prace). Bol vsak velmi prijemny. Nasledne mi dal petriho siete ako podotazku a tu som uz nejak laicky podal. Celkovo sa to dalo obkecat bez definicii a vyzeralo to, ze to akceptuje. Posobil neuveritelne pohodovo. Tiez naozaj pocuval co vravim pocas prezentacie a aj listoval zadanim. Mal k nemu dokonca aj otazky. To ma uprimne prekvapilo a zaroven aj potesilo.	Mr. Dohnal gave me distributed systems vs centralized. He followed up profusely and was quite specific about what he actually wanted. Unfortunately, I didn't "master" this topic somehow, so I struggled with some questions (simplified -> how to solve the division of work). However, he was very nice. Next, he gave me a petri net as a sub-question, and I submitted it in a layman's way. All in all, it could be talked about without definition and it seemed that he accepted it. He acted incredibly comfortably. He also really listened to what I was saying during the presentation and flipped through the assignments. He even had questions for him. That honestly surprised me and pleased me at the same time.
